X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745470.34000015	5205942.99000549	1845.92004395	242.000000	626.000000	294.000000	1659.000000	3566.000000	32	54	34
745471.04999924	5205941.39999390	1846.23999023	528.000000	1381.000000	733.000000	3302.000000	5272.000000	95	134	84
745472.69000053	5205941.77999878	1844.07995605	697.000000	1493.000000	1152.000000	3206.000000	5094.000000	155	146	114
745470.94000053	5205941.57000732	1845.00000000	534.000000	1357.000000	779.000000	3166.000000	5207.000000	101	132	85
745471.18000031	5205943.94999695	1845.02001953	179.000000	589.000000	286.000000	1498.000000	3112.000000	31	50	23
745471.87000084	5205943.57000732	1845.46997070	260.000000	816.000000	371.000000	2053.000000	3742.000000	43	74	37
745470.79999924	5205941.55000305	1845.88000488	656.000000	1450.000000	911.000000	2964.000000	4671.000000	120	142	106
745470.34000015	5205942.63999939	1844.45996094	446.000000	1441.000000	628.000000	3426.000000	5492.000000	80	141	70
745471.14999962	5205943.89999390	1845.01000977	206.000000	745.000000	343.000000	1834.000000	3701.000000	39	67	27
745470.37999916	5205942.21000671	1846.81994629	198.000000	542.000000	271.000000	1360.000000	2655.000000	29	45	26
745471.13999939	5205943.63999939	1845.86999512	246.000000	791.000000	315.000000	1952.000000	3974.000000	35	72	34
745470.82999992	5205941.58000183	1846.09997559	940.000000	1657.000000	1192.000000	3255.000000	5023.000000	160	164	156
745471.29000092	5205943.47000122	1846.82995605	365.000000	946.000000	499.000000	2095.000000	3879.000000	62	88	55
745470.43000031	5205942.27000427	1846.01000977	303.000000	688.000000	394.000000	1439.000000	2564.000000	47	61	44
745471.67000008	5205941.61000061	1844.67004395	780.000000	1521.000000	1010.000000	3220.000000	4973.000000	134	149	128
745470.36000061	5205941.21000671	1844.09997559	710.000000	1631.000000	1274.000000	3687.000000	5667.000000	172	161	116
745471.75000000	5205941.69000244	1845.33996582	658.000000	1383.000000	783.000000	3130.000000	5225.000000	102	135	107
745472.05999947	5205941.47000122	1844.16003418	776.000000	1566.000000	1222.000000	3628.000000	5696.000000	165	154	128
745471.94000053	5205942.86000061	1844.25000000	216.000000	783.000000	471.000000	1830.000000	3637.000000	58	71	29
745472.18000031	5205941.69999695	1844.40002441	873.000000	1408.000000	1308.000000	2866.000000	4421.000000	177	137	145
745472.48999977	5205942.24000549	1844.18005371	592.000000	1432.000000	972.000000	2923.000000	4793.000000	129	140	95
745472.29999924	5205943.58999634	1844.31994629	356.000000	868.000000	547.000000	2206.000000	4111.000000	68	80	54
745472.04000092	5205942.75999451	1844.72998047	359.000000	865.000000	342.000000	1751.000000	3381.000000	39	80	54
745472.32999992	5205941.05999756	1843.90002441	562.000000	1525.000000	980.000000	3525.000000	5645.000000	130	150	90
745472.15999985	5205942.02999878	1845.47998047	372.000000	933.000000	465.000000	2297.000000	4192.000000	57	87	57
745472.27000046	5205942.11999512	1844.60998535	445.000000	778.000000	731.000000	1677.000000	2895.000000	95	70	69
745470.34000015	5205943.07000732	1845.05004883	234.000000	637.000000	314.000000	1574.000000	3412.000000	35	56	32
745471.96999931	5205943.39999390	1845.44995117	251.000000	865.000000	307.000000	2147.000000	4065.000000	34	80	35
745471.70000076	5205941.61999512	1845.10998535	471.000000	1083.000000	619.000000	2239.000000	4313.000000	79	103	74
745470.42000008	5205942.52000427	1845.92004395	203.000000	529.000000	240.000000	1399.000000	2875.000000	25	44	27
745470.38999939	5205942.55999756	1845.05004883	255.000000	761.000000	335.000000	1974.000000	3635.000000	38	69	36
745471.17000008	5205943.33999634	1846.88000488	300.000000	810.000000	365.000000	1888.000000	3711.000000	42	74	44
745471.71999931	5205941.66000366	1845.22998047	576.000000	1284.000000	706.000000	2798.000000	4929.000000	91	124	92
745472.02000046	5205943.05999756	1844.97998047	280.000000	782.000000	311.000000	1868.000000	4012.000000	35	71	40
745472.19000053	5205942.27000427	1844.02001953	539.000000	1571.000000	833.000000	3881.000000	6082.000000	109	155	86
745471.11000061	5205943.75000000	1845.48999023	206.000000	749.000000	284.000000	1855.000000	3830.000000	31	67	27
745472.93000031	5205941.69000244	1843.84997559	857.000000	1402.000000	1565.000000	3054.000000	4502.000000	214	137	142
745470.51000023	5205941.75999451	1846.50000000	227.000000	563.000000	309.000000	1287.000000	2774.000000	34	48	31
745470.36000061	5205943.27000427	1846.05004883	182.000000	520.000000	243.000000	1352.000000	2905.000000	25	43	23
745472.00000000	5205942.88000488	1845.02001953	257.000000	763.000000	325.000000	1566.000000	3718.000000	37	69	36
745471.98999977	5205942.85000610	1844.14001465	280.000000	685.000000	572.000000	1548.000000	3034.000000	72	61	40
745470.36000061	5205943.22999573	1845.22998047	260.000000	674.000000	327.000000	1644.000000	2967.000000	37	59	37
745472.54000092	5205943.47999573	1844.19995117	422.000000	1049.000000	605.000000	2294.000000	4142.000000	77	99	65
745472.35000038	5205941.57000732	1844.17004395	1256.000000	1987.000000	1966.000000	3838.000000	5396.000000	255	199	212
745470.12999916	5205941.61000061	1844.18994141	890.000000	1396.000000	1614.000000	2921.000000	4258.000000	221	136	148
745470.63999939	5205942.02000427	1844.39001465	361.000000	692.000000	654.000000	1645.000000	3020.000000	84	61	55
745472.06999969	5205942.75999451	1844.02001953	352.000000	529.000000	698.000000	1153.000000	2156.000000	90	44	53
745472.39999962	5205943.30999756	1844.23999023	331.000000	912.000000	474.000000	2105.000000	3804.000000	58	85	49
745472.20999908	5205941.41000366	1844.09997559	658.000000	1430.000000	1040.000000	3304.000000	5250.000000	139	140	107
745470.30999947	5205943.02000427	1845.09997559	249.000000	702.000000	295.000000	1728.000000	3796.000000	32	62	35
745470.72999954	5205941.77000427	1845.90002441	609.000000	1460.000000	813.000000	3205.000000	5063.000000	106	143	98
745472.73999977	5205941.77000427	1843.96997070	742.000000	1483.000000	1228.000000	3207.000000	5097.000000	165	145	122
745471.03000069	5205941.36000061	1846.13000488	528.000000	1319.000000	734.000000	3309.000000	5198.000000	95	128	84
745472.00000000	5205943.16999817	1845.81005859	282.000000	885.000000	345.000000	2029.000000	4429.000000	40	82	41
745472.04000092	5205942.75999451	1844.72998047	359.000000	865.000000	342.000000	1751.000000	3381.000000	39	80	54
745471.46999931	5205943.78999329	1845.10998535	193.000000	571.000000	303.000000	1401.000000	2850.000000	34	49	25
745470.56999969	5205942.30000305	1844.96997070	238.000000	603.000000	381.000000	1447.000000	2829.000000	45	52	33
745470.29000092	5205942.80999756	1845.45996094	297.000000	698.000000	302.000000	1810.000000	3836.000000	33	62	43
745470.70000076	5205943.52000427	1845.53002930	258.000000	783.000000	308.000000	1857.000000	3919.000000	34	71	37
745470.79999924	5205943.50999451	1846.40002441	209.000000	535.000000	255.000000	1374.000000	2955.000000	27	45	28
745472.20999908	5205941.63999939	1844.22998047	1054.000000	1719.000000	1589.000000	3671.000000	5416.000000	217	170	176
745470.52000046	5205941.91000366	1844.27001953	479.000000	1005.000000	755.000000	2429.000000	4127.000000	98	95	75
745470.31999969	5205942.77000427	1846.32995605	264.000000	634.000000	320.000000	1645.000000	3456.000000	36	55	38
745470.30999947	5205942.83000183	1844.58996582	352.000000	1134.000000	449.000000	2673.000000	4705.000000	54	108	53
745472.13999939	5205941.16000366	1843.91003418	611.000000	1717.000000	879.000000	4029.000000	6625.000000	116	170	99
745470.43000031	5205941.96000671	1846.68994141	263.000000	673.000000	327.000000	1484.000000	2827.000000	37	59	37
745472.98999977	5205942.67999268	1843.94995117	630.000000	961.000000	1172.000000	1948.000000	3071.000000	158	90	102
745472.04000092	5205942.75999451	1844.72998047	359.000000	865.000000	342.000000	1751.000000	3381.000000	39	80	54
745471.18000031	5205941.64999390	1844.18994141	883.000000	1388.000000	1784.000000	2893.000000	4176.000000	245	135	146
745470.39999962	5205941.66999817	1844.19995117	595.000000	1191.000000	1005.000000	2745.000000	4603.000000	134	114	96
745471.23999977	5205943.57000732	1846.13000488	233.000000	837.000000	345.000000	2002.000000	4025.000000	40	77	32
745470.55999947	5205941.72999573	1846.50000000	232.000000	541.000000	312.000000	1269.000000	2678.000000	35	45	32
745470.79000092	5205941.86999512	1845.14001465	600.000000	1400.000000	800.000000	3251.000000	5240.000000	104	136	97
745470.77000046	5205941.82000732	1845.18994141	517.000000	1295.000000	779.000000	3024.000000	5018.000000	101	125	82
