X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.73999977	5205916.98000336	1827.97998047	574.000000	1887.000000	695.000000	4657.000000	8460.000000	90	188	92
745526.12000084	5205918.05999756	1829.84997559	390.000000	1652.000000	461.000000	4214.000000	7040.000000	56	163	60
745526.12000084	5205918.05999756	1829.84997559	372.000000	1560.000000	443.000000	3995.000000	6698.000000	54	153	57
745528.19000053	5205917.66999817	1827.98999023	712.000000	2233.000000	860.000000	5394.000000	9215.000000	113	225	116
745526.86000061	5205916.83999634	1828.68994141	490.000000	1677.000000	611.000000	4273.000000	7774.000000	78	166	77
745527.52000046	5205917.31999969	1828.72998047	741.000000	1674.000000	834.000000	4182.000000	7762.000000	109	165	121
745528.09000015	5205917.83000183	1828.06005859	663.000000	2266.000000	813.000000	5030.000000	8514.000000	106	228	108
745527.39999962	5205917.26000214	1829.27001953	1015.000000	1914.000000	1240.000000	3923.000000	6265.000000	167	191	169
745527.09000015	5205917.16999817	1829.92004395	631.000000	1656.000000	734.000000	3901.000000	6161.000000	95	164	102
745526.96999931	5205918.30000305	1828.82995605	675.000000	822.000000	812.000000	1596.000000	2638.000000	106	75	110
745526.29999924	5205918.68000031	1828.81994629	486.000000	1917.000000	625.000000	4745.000000	7633.000000	80	191	77
745527.25000000	5205917.19999695	1829.31994629	708.000000	1250.000000	911.000000	2732.000000	4534.000000	120	121	116
745527.31999969	5205917.13999939	1828.98999023	593.000000	2301.000000	789.000000	5566.000000	9118.000000	103	232	95
745526.88999939	5205916.87999725	1828.80004883	573.000000	1868.000000	760.000000	4476.000000	7700.000000	99	186	92
745526.86000061	5205918.50000000	1828.57995605	585.000000	1459.000000	715.000000	3319.000000	5469.000000	92	143	94
745527.87999916	5205917.15000153	1828.00000000	694.000000	1930.000000	919.000000	4625.000000	7927.000000	121	193	113
745526.12000084	5205918.05999756	1829.84997559	390.000000	1652.000000	461.000000	4214.000000	7040.000000	56	163	60
745527.95000076	5205917.59999847	1828.64001465	753.000000	2198.000000	1021.000000	4908.000000	8057.000000	136	221	123
745528.00000000	5205917.02999878	1827.97998047	584.000000	1791.000000	787.000000	4303.000000	7174.000000	103	178	94
745526.88999939	5205916.87999725	1828.80004883	573.000000	1868.000000	760.000000	4476.000000	7700.000000	99	186	92
745528.37000084	5205917.06999969	1827.66003418	546.000000	1859.000000	679.000000	4618.000000	7179.000000	87	185	87
745527.89999962	5205917.51000214	1828.53002930	764.000000	2282.000000	966.000000	5406.000000	9180.000000	128	230	125
745526.96999931	5205918.30000305	1828.82995605	664.000000	810.000000	818.000000	1564.000000	2639.000000	107	74	108
745527.42000008	5205917.15000153	1828.43994141	635.000000	1840.000000	833.000000	4590.000000	7841.000000	109	183	103
745526.06999969	5205917.94999695	1830.01000977	467.000000	2053.000000	630.000000	4858.000000	7751.000000	80	206	73
745526.30999947	5205918.26999664	1829.27001953	417.000000	1578.000000	501.000000	3830.000000	6559.000000	62	155	64
745526.61000061	5205918.87000275	1828.51000977	385.000000	1566.000000	480.000000	4090.000000	6652.000000	59	154	59
745527.31999969	5205917.23000336	1829.27001953	801.000000	1508.000000	1006.000000	3209.000000	5394.000000	134	148	132
745528.45999908	5205917.26999664	1827.61999512	793.000000	1902.000000	1103.000000	4313.000000	6603.000000	148	190	130
745527.29999924	5205917.19000244	1829.20996094	702.000000	1841.000000	902.000000	4084.000000	6536.000000	119	183	115
745527.12999916	5205917.26000214	1829.97998047	607.000000	1783.000000	733.000000	4215.000000	6403.000000	95	177	98
745527.23999977	5205919.30999756	1828.38000488	176.000000	749.000000	185.000000	1756.000000	3283.000000	17	67	22
745527.10000038	5205919.00000000	1828.52001953	230.000000	1110.000000	249.000000	2505.000000	4288.000000	26	106	32
745527.52000046	5205917.31999969	1828.72998047	759.000000	1615.000000	849.000000	4070.000000	7550.000000	111	159	125
745527.78000069	5205917.59999847	1828.81005859	773.000000	2281.000000	1019.000000	5275.000000	8142.000000	136	230	127
745527.50000000	5205917.30000305	1829.59997559	593.000000	2819.000000	709.000000	6501.000000	9754.000000	92	255	95
745527.11000061	5205918.61000061	1828.75000000	211.000000	806.000000	240.000000	2070.000000	3770.000000	25	73	28
745527.39999962	5205917.45999908	1829.67004395	629.000000	2013.000000	756.000000	4766.000000	7354.000000	98	201	102
745527.01000023	5205916.90000153	1828.68994141	541.000000	1794.000000	655.000000	4480.000000	7843.000000	84	178	86
745526.30999947	5205918.26999664	1829.31994629	434.000000	1639.000000	494.000000	3879.000000	6594.000000	61	162	67
745526.80999947	5205918.77999878	1828.43994141	354.000000	1361.000000	410.000000	3446.000000	6146.000000	49	132	53
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745527.28000069	5205916.97000122	1828.47998047	565.000000	1769.000000	687.000000	4424.000000	6938.000000	88	176	90
745526.95999908	5205916.94999695	1829.56994629	651.000000	2087.000000	777.000000	4904.000000	8035.000000	101	209	106
